time_bucket,CO2,H,LUX,PIR,RAD,T,WIND,pmv,ppd,tr
2024-08-04 21:00:00+00:00,396.0,42.666666666666664,0.0,0.0,25.655,25.514166666666668,0.0,0.8557281691266364,20.46355854706855,25.717201101317443
2024-08-04 22:00:00+00:00,392.8333333333333,43.62166666666667,0.0,0.0,25.245,25.0975,0.0,0.770315005710293,17.514712701440253,25.31023136471376
2024-08-04 23:00:00+00:00,392.4166666666667,43.87583333333333,0.0,0.0,25.0075,24.904166666666665,0.0,0.7225535428590515,15.989018251990784,25.053217522903154
2024-08-05 00:00:00+00:00,395.5833333333333,43.95,0.0,0.0,24.84,24.759166666666665,0.0,0.6872926220946011,14.945871147939824,24.87375220689186
2024-08-05 01:00:00+00:00,396.3333333333333,44.899166666666666,0.0,0.0,24.515833333333333,24.365833333333335,0.0,0.6159662572639754,12.962174384854052,24.58324325411802
2024-08-05 02:00:00+00:00,402.8333333333333,45.17333333333333,0.0,0.0,24.333333333333332,24.2025,0.0,0.5784375669687115,12.01975880838617,24.391530787495242
2024-08-05 03:00:00+00:00,400.25,45.910833333333336,0.0,0.0,24.074166666666667,23.91,0.0,0.5227324488905899,10.717477169273863,24.149328495778416
2024-08-05 04:00:00+00:00,396.9166666666667,46.729166666666664,0.0,0.0,23.904166666666665,23.756666666666668,0.0,0.49105854353752154,10.039961418009453,23.971065320201948
2024-08-05 05:00:00+00:00,396.1666666666667,47.09,1.1666666666666667,0.0,23.945833333333333,23.8325,0.0,0.5050157116864362,10.332497863694002,23.99395798073813
2024-08-05 06:00:00+00:00,394.8333333333333,49.236666666666665,55.0,4.0,23.858333333333334,23.680833333333332,0.0,0.49388539199111225,10.098156498102123,23.941350888780487
2024-08-05 07:00:00+00:00,403.8333333333333,50.333333333333336,366.9166666666667,10.0,24.200833333333332,24.0675,0.0,0.5807473863022653,12.098116263335116,24.259309290656073
2024-08-05 08:00:00+00:00,423.4166666666667,56.549166666666665,377.5,32.0,23.893333333333334,23.5725,0.0175,0.536854858075128,11.196384371760171,24.076954979508216
2024-08-05 09:00:00+00:00,411.1666666666667,59.35916666666667,398.9166666666667,10.0,23.863333333333333,23.6625,0.011666666666666667,0.5551302234105644,11.478304392158385,23.962824333696584
2024-08-05 10:00:00+00:00,409.9166666666667,58.641666666666666,406.3333333333333,31.0,24.461666666666666,24.323333333333334,0.008333333333333333,0.6916120548265076,15.086659024919408,24.523236749554858
2024-08-05 11:00:00+00:00,406.0833333333333,58.00416666666667,402.8333333333333,28.0,24.919166666666666,24.765833333333333,0.009166666666666667,0.7910383505486076,18.204240235315616,24.991324341524376
2024-08-05 12:00:00+00:00,411.5,56.33833333333333,407.3333333333333,18.0,25.390833333333333,25.335,0.0025,0.8951214614749579,21.953827146324606,25.41415341814712
2024-08-05 13:00:00+00:00,407.1666666666667,54.675,417.1666666666667,24.0,25.905833333333334,25.84,0.003333333333333333,1.0000366222961545,26.160208653340796,25.931998655270394
2024-08-05 14:00:00+00:00,402.0833333333333,53.895833333333336,453.25,62.0,26.2725,26.2075,0.0016666666666666668,1.0780007581353694,29.568229151945307,26.29872610549342
2024-08-05 15:00:00+00:00,421.5,52.60916666666667,429.5,29.0,26.76,26.691666666666666,0.0016666666666666668,1.1792337077215436,34.25478355376968,26.787749252855942
2024-08-05 16:00:00+00:00,415.8333333333333,52.6875,379.1666666666667,14.0,26.641666666666666,26.481666666666666,0.0016666666666666668,1.146123898261231,32.66375425947082,26.71383403806729
2024-08-05 17:00:00+00:00,410.9166666666667,50.615,368.6666666666667,10.0,27.058333333333334,27.090833333333332,0.0,1.24047669744515,37.2640906265569,27.04716408364554
2024-08-05 18:00:00+00:00,398.4166666666667,49.8375,168.41666666666666,1.0,27.115,27.155,0.0,1.248076067229852,37.63052559944986,27.10064587175714
2024-08-05 19:00:00+00:00,390.5833333333333,49.69583333333333,0.0,0.0,26.9025,26.915,0.0,1.1968954685410311,35.09926776623493,26.89911739028226
2024-08-05 20:00:00+00:00,389.4166666666667,49.83583333333333,0.0,0.0,26.579166666666666,26.615,0.0,1.1270444736266916,31.76897892177657,26.567660821086196
2024-08-05 21:00:00+00:00,393.6666666666667,50.288333333333334,0.0,0.0,26.269166666666667,26.291666666666668,0.0,1.0592154394152624,28.684846465277943,26.262090120308454
2024-08-05 22:00:00+00:00,391.5833333333333,50.49,0.0,0.0,25.996666666666666,25.988333333333333,0.0,0.9963545940273321,25.97164947517728,25.999235095847073
2024-08-05 23:00:00+00:00,385.1666666666667,50.719166666666666,0.0,0.0,25.796666666666667,25.776666666666667,0.0,0.9517306410902823,24.134554919600188,25.802716331793423
2024-08-06 00:00:00+00:00,381.1666666666667,51.325,0.0,0.0,25.6375,25.5975,0.0,0.9181646475441216,22.805745847961532,25.65044110389539
2024-08-06 01:00:00+00:00,389.75,51.971666666666664,0.0,0.0,25.47,25.430833333333332,0.0,0.8847845161582624,21.529146949443962,25.48255581910256
2024-08-06 02:00:00+00:00,378.5,52.45666666666666,0.0,0.0,25.328333333333333,25.285,0.0,0.8556827000142655,20.45295462857135,25.342714683300972
2024-08-06 03:00:00+00:00,380.5,52.7125,0.0,0.0,25.215833333333332,25.180833333333332,0.0,0.8326974711705644,19.62863275231467,25.227214037092157
2024-08-06 04:00:00+00:00,383.5,53.2,0.0,0.0,25.106666666666666,25.0475,0.0,0.8091091646782935,18.80604505928855,25.127328933193482
2024-08-06 05:00:00+00:00,384.0,53.593333333333334,0.0,0.0,25.025833333333335,24.9775,0.0,0.7943138525621158,18.300537730642766,25.041908112833323
2024-08-06 06:00:00+00:00,384.1666666666667,53.91,3.0,0.0,25.004166666666666,24.961666666666666,0.0,0.7920103177559767,18.222864639962953,25.018087539073882
2024-08-06 07:00:00+00:00,393.9166666666667,53.901666666666664,64.58333333333333,3.0,25.0425,25.023333333333333,0.0,0.8027650767695861,18.58743451053606,25.048149578582287
2024-08-06 08:00:00+00:00,418.1666666666667,56.27333333333333,784.1666666666666,25.0,24.70916666666667,24.593333333333334,0.0,0.734759838063073,16.37573133515574,24.76030312190632
2024-08-06 09:00:00+00:00,464.0833333333333,57.16833333333334,801.9166666666666,29.0,24.675,24.445833333333333,0.0025,0.7248996489203379,16.096009824969443,24.795994666689925
2024-08-06 10:00:00+00:00,466.3333333333333,56.29333333333334,816.75,15.0,24.815833333333334,24.5425,0.0008333333333333333,0.7478752846734853,16.779647387998374,24.956621876674763
2024-08-06 11:00:00+00:00,453.75,52.7975,843.1666666666666,37.0,25.309166666666666,25.10333333333333,0.0,0.8414739877481698,19.99788657064625,25.408441185540422
2024-08-06 12:00:00+00:00,428.4166666666667,49.3075,822.25,46.0,25.296666666666667,25.013333333333332,0.005833333333333334,0.8108279869731833,18.907902985033754,25.443299272586298
2024-08-06 13:00:00+00:00,424.8333333333333,46.204166666666666,834.5833333333334,23.0,25.3575,25.1175,0.003333333333333333,0.8069209864252115,18.743093295176195,25.48026500255791
2024-08-06 14:00:00+00:00,412.0833333333333,42.10916666666667,913.4166666666666,19.0,25.75583333333333,25.595833333333335,0.005833333333333334,0.8734871983431408,21.139206332445383,25.833757254572415
2024-08-06 15:00:00+00:00,408.0,37.178333333333335,891.9166666666666,39.0,26.319166666666668,26.2425,0.003333333333333333,0.9694464916277488,24.924487119827457,26.354302344296546
2024-08-06 16:00:00+00:00,409.9166666666667,34.72833333333333,852.0,36.0,26.704166666666666,26.6,0.0,1.034782884664067,27.641677131429528,26.752025734249667
2024-08-06 17:00:00+00:00,416.6666666666667,35.16166666666667,672.8333333333334,7.0,27.324166666666667,27.298333333333332,0.0,1.1789129592951686,34.22783637148971,27.33194404070814
2024-08-06 18:00:00+00:00,411.25,35.48833333333334,10.583333333333334,0.0,27.080833333333334,27.10333333333333,0.0,1.1320431851796673,32.01749530365542,27.07400103379909
2024-08-06 19:00:00+00:00,397.1666666666667,36.7475,0.08333333333333333,0.0,26.544166666666666,26.52166666666667,0.0,1.0195888777245772,26.96930473024427,26.550985369979017
2024-08-06 20:00:00+00:00,401.9166666666667,37.69833333333333,0.0,0.0,26.0225,25.993333333333332,0.0,0.9109155862316829,22.542563633292378,26.031330848702922
2024-08-06 21:00:00+00:00,396.25,38.560833333333335,0.0,0.0,25.571666666666665,25.534166666666668,0.0,0.8168186384321934,19.083857302633813,25.583910182385974
2024-08-06 22:00:00+00:00,395.0,39.483333333333334,0.0,0.0,25.2175,25.185,0.0,0.7452181527683199,16.701338665386437,25.227592080114665
2024-08-06 23:00:00+00:00,400.1666666666667,40.145833333333336,0.0,0.0,24.904166666666665,24.845833333333335,0.0,0.6782661211725001,14.67752842229652,24.92491690680528
2024-08-07 00:00:00+00:00,402.5833333333333,40.7125,0.0,0.0,24.586666666666666,24.506666666666668,0.0,0.6100100403902049,12.8116874965131,24.617085349540485
2024-08-07 01:00:00+00:00,402.3333333333333,41.41166666666667,0.0,0.0,24.324166666666667,24.23,0.0,0.555255121871454,11.458051933752207,24.361359570049647
2024-08-07 02:00:00+00:00,399.0,41.905833333333334,0.0,0.0,24.115833333333335,24.023333333333333,0.0,0.5123114495114572,10.491199804670352,24.15227207034448
2024-08-07 03:00:00+00:00,405.5833333333333,41.973333333333336,0.0,0.0,23.885833333333334,23.795,0.0,0.4618951587294831,9.458780774176654,23.921562335020187
2024-08-07 04:00:00+00:00,406.0,42.10166666666667,0.0,0.0,23.67,23.586666666666666,0.0,0.4154342823321465,8.600080455955052,23.702192513786496
2024-08-07 05:00:00+00:00,406.25,42.89416666666666,1.5,0.0,23.559166666666666,23.458333333333332,0.0,0.39431046525781943,8.239273018071428,23.59996155440849
2024-08-07 06:00:00+00:00,402.0,43.416666666666664,11.0,0.0,23.666666666666668,23.620833333333334,0.0,0.42578730090152433,8.791479367723307,23.68339652109026
2024-08-07 07:00:00+00:00,402.5833333333333,44.0425,31.083333333333332,6.0,24.04,24.0225,0.0,0.5149412676824059,10.561371528405436,24.045067065214692
2024-08-07 08:00:00+00:00,412.0833333333333,45.04083333333333,490.6666666666667,6.0,24.58,24.53,0.0,0.6386257938953643,13.595781738701668,24.597356042365476
2024-08-07 09:00:00+00:00,452.9166666666667,44.4175,834.0833333333334,5.0,25.2125,25.163333333333334,0.0,0.7756036702276851,17.709283583025528,25.229904379450673
2024-08-07 10:00:00+00:00,450.25,42.45166666666667,814.0,16.0,25.628333333333334,25.55,0.0,0.8526154808030496,20.34289362148191,25.657647810541537
2024-08-07 11:00:00+00:00,459.25,41.73833333333334,827.5,17.0,25.8525,25.749166666666667,0.0,0.8957332272594887,21.945801979521033,25.89382631516405
2024-08-07 12:00:00+00:00,447.1666666666667,40.62416666666667,838.3333333333334,20.0,26.251666666666665,26.14666666666667,0.0,0.9764106144813299,25.14870485920279,26.29363984096698
2024-08-07 13:00:00+00:00,474.5,39.88916666666667,793.8333333333334,32.0,26.44333333333333,26.35333333333333,0.0,1.014782038331603,26.749074855828376,26.478497823084965
2024-08-07 14:00:00+00:00,467.5833333333333,41.58166666666666,810.25,27.0,26.0425,25.9175,0.0008333333333333333,0.9355443725669755,23.565509214923285,26.099409228302292
2024-08-07 15:00:00+00:00,447.6666666666667,44.81583333333333,796.0,13.0,25.2125,25.0975,0.0025,0.773716858533629,17.622298258219477,25.265365640128987
2024-08-07 16:00:00+00:00,429.5,45.14083333333333,793.0833333333334,10.0,25.015,24.909166666666668,0.0016666666666666668,0.7323417380337226,16.301806281535917,25.06231488322859
2024-08-07 17:00:00+00:00,404.0,44.11416666666667,709.9166666666666,3.0,25.08416666666667,25.045,0.0,0.7462274990196597,16.87338231341552,25.10351199811464
2024-08-07 18:00:00+00:00,403.5,42.83583333333333,2.5,0.0,25.485833333333332,25.4925,0.0,0.8307239133089306,19.560808495309892,25.483810296628565
2024-08-07 19:00:00+00:00,401.3333333333333,42.8775,0.0,0.0,25.234166666666667,25.274166666666666,0.0,0.7780579442515718,17.762541478265916,25.221361523171684
2024-08-07 20:00:00+00:00,393.1666666666667,42.954166666666666,0.0,0.0,25.001666666666665,25.041666666666668,0.0,0.7268991908650309,16.126123755348015,24.98858271105881
2024-08-07 21:00:00+00:00,388.3333333333333,43.208333333333336,0.0,0.0,24.765833333333333,24.816666666666666,0.0,0.6770903260322207,14.637558971140036,24.74851339783795
2024-08-07 22:00:00+00:00,389.0,43.645,0.0,0.0,24.549166666666668,24.58,0.0,0.6300684835168765,13.33619148655528,24.53934394267294
2024-08-07 23:00:00+00:00,386.5,44.025,0.0,0.0,24.3125,24.320833333333333,0.0,0.5778147693691876,11.999722988325436,24.30981259998249
2024-08-08 00:00:00+00:00,391.0,44.14833333333333,0.0,0.0,24.085,24.105833333333333,0.0,0.5291599468765432,10.862512207436561,24.078206779550616
2024-08-08 01:00:00+00:00,392.4166666666667,44.346666666666664,0.0,0.0,23.905,23.91,0.0,0.48892586413575884,9.99553099529456,23.903379684679166
2024-08-08 02:00:00+00:00,394.25,44.59,0.0,0.0,23.8025,23.8,0.0,0.46697212382862097,9.553448522619325,23.803638677336597
2024-08-08 03:00:00+00:00,392.9166666666667,44.660833333333336,0.0,0.0,23.69333333333333,23.71,0.0,0.4448641234636007,9.132047220929364,23.68780659290705
2024-08-08 04:00:00+00:00,400.4166666666667,44.60916666666667,0.0,0.0,23.4775,23.484166666666667,0.0,0.3956875062985769,8.26529681305231,23.47556003656913
2024-08-08 05:00:00+00:00,404.0833333333333,44.520833333333336,1.5,0.0,23.31833333333333,23.345833333333335,0.0,0.3616793335277571,7.723031440259816,23.309044164662595
2024-08-08 06:00:00+00:00,402.3333333333333,44.72833333333333,10.333333333333334,0.0,23.421666666666667,23.425833333333333,0.0,0.38374470160169705,8.071940931477194,23.420323578552743
2024-08-08 07:00:00+00:00,404.9166666666667,45.63916666666667,28.916666666666668,4.0,23.726666666666667,23.705833333333334,0.0,0.45473128933690593,9.328663409314442,23.732828512517127
2024-08-08 08:00:00+00:00,415.9166666666667,47.26583333333333,531.3333333333334,6.0,24.230833333333333,24.2025,0.0,0.5767410072952687,12.02629542969947,24.240476005624643
2024-08-08 09:00:00+00:00,451.0,47.935833333333335,803.5,26.0,24.79,24.735833333333332,0.0,0.7039329986129699,15.442971971175494,24.81013041358209
2024-08-08 10:00:00+00:00,496.6666666666667,49.235,789.9166666666666,24.0,25.035833333333333,24.983333333333334,0.0,0.7676920854373844,17.416898523797006,25.054905902222327
2024-08-08 11:00:00+00:00,504.8333333333333,50.475833333333334,782.8333333333334,29.0,25.05,24.9625,0.0,0.7763923583227937,17.704694761047314,25.086637631958926
2024-08-08 12:00:00+00:00,466.25,51.6875,779.8333333333334,29.0,25.036666666666665,24.945,0.0,0.7807981037818394,17.848277344902318,25.072963301863023
2024-08-08 13:00:00+00:00,483.0833333333333,53.593333333333334,784.5833333333334,26.0,25.05,24.966666666666665,0.0,0.7971018849951249,18.398444072525827,25.0834898217544
2024-08-08 14:00:00+00:00,519.3333333333334,55.7775,786.5,13.0,25.201666666666668,25.1175,0.0,0.8457185224859892,20.094750776073585,25.234027622975304
2024-08-08 15:00:00+00:00,515.9166666666666,56.495,779.0,15.0,25.26,25.174166666666668,0.0,0.8636290924921477,20.743438177606023,25.29321120939515
2024-08-08 16:00:00+00:00,478.6666666666667,57.4775,778.3333333333334,53.0,25.274166666666666,25.104166666666668,0.0,0.86710849153929,20.871214329508106,25.352274297438715
2024-08-08 17:00:00+00:00,426.6666666666667,58.350833333333334,773.5,0.0,25.211666666666666,25.093333333333334,0.0,0.862723319598788,20.711886607423466,25.26478243470874
2024-08-08 18:00:00+00:00,400.25,59.3425,404.4166666666667,7.0,25.10333333333333,24.9975,0.0,0.8451477227872246,20.074655478923088,25.146720309309853
2024-08-08 19:00:00+00:00,388.5833333333333,59.80083333333334,0.0,0.0,24.9125,24.8275,0.0,0.8060899510216986,18.702645827905993,24.94505322133375
2024-08-08 20:00:00+00:00,382.75,59.7825,0.0,0.0,24.805833333333332,24.7525,0.0,0.7842845344841272,17.96418880176964,24.824608525312097
2024-08-08 21:00:00+00:00,388.8333333333333,59.675,0.0,0.0,24.724166666666665,24.696666666666665,0.0,0.767267720333491,17.40322002631625,24.73306119615134
2024-08-08 22:00:00+00:00,383.8333333333333,59.534166666666664,0.0,0.0,24.64666666666667,24.648333333333333,0.0,0.7515050223351015,16.894168028559232,24.64641624187667
2024-08-08 23:00:00+00:00,381.4166666666667,59.5625,0.0,0.0,24.586666666666666,24.59,0.0,0.7381421300804167,16.47084293571631,24.585847530655442
2024-08-09 00:00:00+00:00,382.6666666666667,59.51416666666667,0.0,0.0,24.52,24.515833333333333,0.0,0.7218415448872995,15.96530647224589,24.521232010280396
2024-08-09 01:00:00+00:00,386.75,59.384166666666665,0.0,0.0,24.45916666666667,24.460833333333333,0.0,0.7077056877290041,15.535729167697204,24.458676068499415
2024-08-09 02:00:00+00:00,386.0,59.3425,0.0,0.0,24.408333333333335,24.410833333333333,0.0,0.6959338282543215,15.184802328978439,24.407700763121312
2024-08-09 03:00:00+00:00,385.3333333333333,59.365,0.0,0.0,24.333333333333332,24.355833333333333,0.0,0.680894348319782,14.745551727361375,24.326094875431547
